time,x,y,z,resultant,milliseconds,seconds,diff_time,x_norm,y_norm,z_norm,time_hour,yFiltered,yFiltered_norm,changeOfStatus
1697730935533,16.920000076293945,29.73600006103516,-5.419000148773193,34.63930808812546,4751903,4751.903,0.021000000000640284,0.734510007801982,0.2453547493427597,-0.3838989963615054,15:55:35.533000,29.82676804786176,0.2648213831616886,10
1697730935553,-5.75,5.130000114440918,8.57699966430664,11.530148499290028,4751923,4751.923,0.019999999999527063,-0.2047314163991132,-0.20244228716327217,-0.08494776108670599,15:55:35.553000,5.220768101267517,-0.18997534635508184,10
1697730935573,-15.053999900817873,15.052000045776367,-5.335000038146973,21.94647679694635,4751943,4751.943,0.020000000000436557,-0.5902057034834391,-0.021874857466921416,-0.3821047739286457,15:55:35.573000,15.142768032602966,-0.006585395577585973,10
1697730935593,-4.498000144958496,-18.33099937438965,0.2460000067949295,18.8763889388639,4751963,4751.963,0.019999999999527063,-0.1528597744497856,-0.629401811969009,-0.26289593713337356,15:55:35.593000,-18.24023138756305,-0.623608844764953,10
1697730935613,-3.9260001182556152,18.34000015258789,-2.819999933242798,18.966324951053547,4751983,4751.983,0.020000000000436557,-0.1291612249166837,0.037962446729509214,-0.3283849684043053,15:55:35.613000,18.43076813941449,0.05418724924376983,10
1697730935633,2.3959999084472656,0.5120000243186951,-7.4120001792907715,7.806452859268932,4752003,4752.003,0.019999999999527063,0.13276573974570427,-0.286483852611928,-0.42646900414823985,15:55:35.633000,0.0,-0.28647165876568925,10
1697730935653,2.720000028610229,-12.89799976348877,1.8869999647140503,13.316064242914528,4752023,4752.023,0.020000000000436557,0.14618939802885578,-0.5305283205286996,-0.22784456738075687,15:55:35.653000,-12.80723177666217,-0.5231898225806664,10
1697730935672,-0.6430000066757202,0.8830000162124634,-0.8980000019073486,1.4140516400194814,4752042,4752.042,0.01900000000023283,0.006856846987828957,-0.2797321376938441,-0.2873315058904061,15:55:35.672000,0.0,-0.28647165876568925,10
1697730935692,11.878999710083008,-13.390000343322754,-11.586999893188477,21.32278850973965,4752062,4752.062,0.019999999999527063,0.525656176861359,-0.5394820879873312,-0.5156460074642326,15:55:35.692000,-13.299232356496155,-0.5322835499282446,10
1697730935713,-12.241999626159668,-15.413999557495115,-2.5420000553131104,19.84741044787871,4752083,4752.083,0.02099999999973079,-0.4737016393486668,-0.5763162281142953,-0.32244695697080583,15:55:35.713000,-15.323231570668517,-0.5696934591027552,10
1697730935733,-1.0299999713897705,47.124000549316406,30.52400016784668,56.15555995589163,4752103,4752.103,0.020000000000436557,-0.00917695966415677,0.5617936303602937,0.3838349624582271,15:55:35.733000,47.214768536143005,0.5862066457834127,10
1697730935752,6.132999897003174,-32.95600128173828,-7.165999889373779,34.27919576992846,4752122,4752.122,0.01900000000023283,0.28759349359124053,-0.8955577303311988,-0.4212144963223742,15:55:35.752000,-32.86523329491168,-0.8939251518069402,10
1697730935772,-10.559000015258787,-27.31599998474121,13.291999816894531,32.16105712847358,4752142,4752.142,0.019999999999527063,-0.4039732341368196,-0.7929170787760063,0.01576352347759724,15:55:35.772000,-27.225231997914612,-0.7896800835344905,10
1697730935792,-12.67099952697754,0.1480000019073486,24.847000122070312,27.89174695280652,4752162,4752.162,0.020000000000436557,-0.49147554655952996,-0.2931081772350974,0.26257558842237705,15:55:35.792000,0.0,-0.28647165876568925,10
1697730935813,-0.0020000000949949,-28.625,10.770000457763672,30.584040590808637,4752183,4752.183,0.02099999999973079,0.033414136668800776,-0.8167391680587615,-0.03810578445636126,15:55:35.813000,-28.5342320131734,-0.8138745453393033,10
1697730935834,11.161999702453612,23.98600006103516,-0.5180000066757202,26.461042313039545,4752204,4752.204,0.02099999999973079,0.4959501289543613,0.14071226517230562,-0.2792147961521888,15:55:35.834000,24.07676804786176,0.15854319083472368,10
1697730935853,3.127000093460083,4.007999897003174,-5.376999855041504,7.399616219777426,4752223,4752.223,0.01900000000023283,0.1630518294039336,-0.22286122455326796,-0.38300188005251123,15:55:35.853000,4.0987678838297725,-0.2107134602506897,10
1697730935872,4.673999786376953,7.716000080108643,-0.257999986410141,9.024937408773315,4752242,4752.242,0.01900000000023283,0.22714561810812084,-0.15538046795071914,-0.273661257407695,15:55:35.872000,7.806768066935241,-0.14217788518834118,10
1697730935893,-0.2039999961853027,-2.125,2.0339999198913574,2.948626234801836,4752263,4752.263,0.02099999999973079,0.025045069029719702,-0.3344738062297117,-0.2247046832158166,15:55:35.893000,-2.0342320131734013,-0.32407070244111735,10
1697730935912,6.754000186920166,-32.82400131225586,3.5859999656677246,33.70298171416976,4752282,4752.282,0.01900000000023283,0.31332217443676247,-0.8931555034238832,-0.1915543304701851,15:55:35.912000,-32.73323332542926,-0.8914853747384522,10
1697730935932,-1.6019999980926514,19.441999435424805,-3.9579999446868896,19.90536384000777,4752302,4752.302,0.019999999999527063,-0.03287550919725879,0.058017393253007254,-0.35269237864348024,15:55:35.932000,19.532767422251403,0.07455568258733836,10
1697730935952,0.2319999933242797,-8.593999862670898,-4.131999969482422,9.538557615504171,4752322,4752.322,0.020000000000436557,0.04310899711619842,-0.4522011480954873,-0.3564089778893489,15:55:35.952000,-8.5032318758443,-0.4436382870616473,10
1697730935972,-7.271999835968018,16.405000686645508,-5.8480000495910645,18.87339751404541,4752342,4752.342,0.019999999999527063,-0.2677894353121034,0.0027479856886896137,-0.39306233245718136,15:55:35.972000,16.495768673472107,0.01842233700133522,10
