time,lat,lon,altitude,accuracy,speed,angle
1697716416183,41.4615617,-8.4333017,427.0,1.98,0.000,6.0
1697716417183,41.4615617,-8.4333017,427.0,1.98,0.000,6.0
1697716418183,41.4615617,-8.4333017,427.0,1.97,0.000,6.0
1697716419203,41.4615617,-8.4333017,427.0,1.97,0.000,6.0
1697716420204,41.4615617,-8.4333017,427.0,1.97,0.000,6.0
1697716421203,41.4615617,-8.4333017,412.7,1.92,0.000,6.0
1697716422203,41.4615617,-8.4333017,412.7,1.92,0.000,6.0
1697716423203,41.4615617,-8.4333017,412.7,1.92,0.000,6.0
1697716424223,41.4615617,-8.4333017,412.7,1.90,0.000,6.0
1697716425283,41.4615617,-8.4333017,412.7,1.90,0.000,6.0
1697716426283,41.4615617,-8.4333017,412.7,1.90,0.000,6.0
1697716427284,41.4615617,-8.4333017,412.7,2.30,0.000,6.0
1697716428283,41.4615617,-8.4333017,412.7,2.30,0.000,6.0
1697716429283,41.4615617,-8.4333017,412.7,2.30,0.000,6.0
1697716430284,41.4615617,-8.4333017,412.7,1.90,0.000,6.0
1697716431283,41.4615617,-8.4333017,412.7,1.90,0.000,6.0
1697716432283,41.4615617,-8.4333017,412.7,1.90,0.000,6.0
1697716433283,41.4615617,-8.4333017,412.7,1.92,0.000,6.0
1697716434283,41.4615617,-8.4333017,412.7,1.92,0.000,5.0
1697716438284,41.4615617,-8.4333017,412.7,2.08,0.000,5.0
1697716439323,41.4615617,-8.4333017,412.7,2.32,0.000,6.0
1697716440323,41.4615617,-8.4333017,412.7,2.32,0.000,6.0
1697716441324,41.4615617,-8.4333017,412.7,2.32,0.000,6.0
1697716442323,41.4615617,-8.4333017,412.7,2.82,0.000,6.0
1697716443323,41.4615617,-8.4333017,412.7,2.82,0.000,6.0
1697716444344,41.4615617,-8.4333017,412.7,2.82,0.000,6.0
1697716445343,41.4615617,-8.4333017,412.7,2.47,0.000,6.0
1697716446343,41.4615617,-8.4333017,412.7,2.47,0.000,6.0
1697716447343,41.4615617,-8.4333017,412.7,2.47,0.000,6.0
1697716448344,41.4615617,-8.4333017,412.7,2.37,0.000,6.0
1697716449353,41.4615617,-8.4333017,412.7,2.37,0.000,6.0
1697716450344,41.4615617,-8.4333017,412.7,2.37,0.000,6.0
1697716451363,41.4615617,-8.4333017,412.7,2.12,0.000,6.0
1697716452363,41.4615617,-8.4333017,412.7,2.12,0.000,6.0
1697716453363,41.4615617,-8.4333017,412.7,2.12,0.000,6.0
1697716454383,41.4615617,-8.4333017,412.7,1.98,0.000,6.0
1697716455383,41.4615617,-8.4333017,412.7,1.98,0.000,6.0
1697716456383,41.4615617,-8.4333017,412.7,1.98,0.000,6.0
1697716457383,41.4615617,-8.4333017,412.7,2.37,0.000,6.0
1697716458383,41.4615617,-8.4333017,412.7,2.37,0.000,6.0
1697716459383,41.4615617,-8.4333017,412.7,2.37,0.000,6.0
1697716460423,41.4615617,-8.4333017,412.7,1.93,0.000,6.0
1697716461424,41.4615617,-8.4333017,412.7,1.93,0.000,6.0
1697716462423,41.4615617,-8.4333017,412.7,1.93,0.000,6.0
1697716463423,41.4616014,-8.4332745,421.3,1.90,0.043,6.0
1697716464423,41.4616014,-8.4332745,421.3,1.90,0.043,6.0
1697716465424,41.4616014,-8.4332745,421.3,1.90,0.043,6.0
1697716466443,41.4616294,-8.4332525,421.6,1.90,0.005,6.0
1697716467444,41.4616294,-8.4332525,421.6,1.90,0.005,6.0
1697716468444,41.4616294,-8.4332525,421.6,1.90,0.005,6.0
1697716469443,41.4616316,-8.4332501,421.6,1.90,0.000,6.0
1697716470444,41.4616316,-8.4332501,421.6,1.90,0.000,6.0
1697716471444,41.4616316,-8.4332501,421.6,1.90,0.000,6.0
1697716472463,41.4616317,-8.43325,421.6,2.30,0.000,6.0
1697716473463,41.4616317,-8.43325,421.6,2.30,0.000,6.0
1697716474463,41.4616317,-8.43325,421.6,2.30,0.000,6.0
