time,lat,lon,altitude,accuracy,speed,angle
1697726183932,41.4636122,-8.4340985,439.3,2.35,0.051,31.0
1697726184931,41.4636122,-8.4340985,439.3,2.35,0.051,41.0
1697726185932,41.46361,-8.4341179,438.9,1.92,0.215,43.0
1697726186932,41.46361,-8.4341179,438.9,1.92,0.215,38.0
1697726187931,41.46361,-8.4341179,438.9,1.92,0.215,28.0
1697726188931,41.4636089,-8.4341234,439.1,1.95,0.080,52.0
1697726189932,41.4636089,-8.4341234,439.1,1.95,0.080,49.0
1697726190932,41.4636089,-8.4341234,439.1,1.95,0.080,32.0
1697726191932,41.4636077,-8.4341268,439.5,1.93,0.056,44.0
1697726192931,41.4636077,-8.4341268,439.5,1.93,0.056,21.0
1697726193932,41.4636077,-8.4341268,439.5,1.93,0.056,16.0
1697726194932,41.4636137,-8.4341247,439.0,1.93,0.080,10.0
1697726195932,41.4636137,-8.4341247,439.0,1.93,0.080,9.0
1697726196931,41.4636137,-8.4341247,439.0,1.93,0.080,24.0
1697726197931,41.4636157,-8.4341212,438.8,2.37,0.032,15.0
1697726198931,41.4636157,-8.4341212,438.8,2.37,0.032,56.0
1697726199931,41.4636157,-8.4341212,438.8,2.37,0.032,58.0
1697726201231,41.4636157,-8.4341212,438.8,2.37,0.032,65.0
1697726202232,41.4636157,-8.4341212,438.8,2.37,0.032,57.0
1697726203232,41.4636136,-8.4341245,438.8,4.40,0.002,51.0
1697726204292,41.4636122,-8.434126,438.8,5.80,0.019,73.0
1697726205292,41.4636122,-8.434126,438.8,5.80,0.019,70.0
1697726206292,41.4636144,-8.4341232,439.0,2.44,0.037,73.0
1697726207292,41.4636144,-8.4341232,439.0,2.44,0.037,68.0
1697726208291,41.4636144,-8.4341232,439.0,2.44,0.037,66.0
1697726209291,41.4636251,-8.43411,438.9,2.34,0.135,69.0
1697726210292,41.4636251,-8.43411,438.9,2.34,0.135,69.0
1697726211292,41.4636251,-8.43411,438.9,2.34,0.135,68.0
1697726212292,41.463622,-8.4341087,439.3,2.33,0.078,67.0
1697726213292,41.463622,-8.4341087,439.3,2.33,0.078,66.0
1697726214291,41.463622,-8.4341087,439.3,2.33,0.078,71.0
